brand,model,engine_type,fuel,transmission,km,price,year,type
Mazda,CX-,2.5I,Petrol,Automatic,131000.0,489900,2018.0,autojarov
SEAT,TARRACO,2.0 TDI,Diesel,Automatic,88417.0,719900,2021.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Manual,18470.0,619900,2024.0,autojarov
Audi,Q7,,Diesel,Automatic,138204.0,1329900,2023.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,24894.0,709900,2025.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,11128.0,714000,2025.0,autojarov
Škoda,YETI,1.6 TDI,Diesel,Automatic,118787.0,199900,2014.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,125494.0,249900,2022.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,63659.0,449900,2021.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Automatic,11174.0,969900,2024.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Manual,86656.0,439000,2022.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,20091.0,719000,2025.0,autojarov
Honda,JAZZ,1.5 I,Hybrid,Automatic,0.0,599900,2026.0,autojarov
Honda,CR-V,2.0 I,Hybrid,Automatic,0.0,1079900,2026.0,autojarov
Volkswagen,Touran,2.0 TDI,Diesel,Automatic,20018.0,814000,2025.0,autojarov
Volkswagen,Tiguan,2.0 TDI,Diesel,Automatic,0.0,975900,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,0.0,515800,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,0.0,579800,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,0.0,513800,2026.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Automatic,0.0,553800,2026.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,146859.0,259900,2020.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,0.0,510300,2026.0,autojarov
Volkswagen,T-Roc,1.5 ETSI,Petrol,Automatic,0.0,727000,2026.0,autojarov
Volkswagen,GOLF,1.5 TSI,Petrol,Manual,79850.0,399900,2021.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Manual,11540.0,598000,2025.0,autojarov
Volkswagen,PASSAT,2.0 TDI,Diesel,Automatic,23609.0,869900,2024.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Automatic,0.0,595800,2026.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,0.0,685800,2026.0,autojarov
Škoda,KAROQ,2.0 TDI,Diesel,Automatic,0.0,1045000,2026.0,autojarov
Volkswagen,Tayron,2.0 TDI,Diesel,Automatic,0.0,1316900,2026.0,autojarov
Škoda,KAMIQ,1.0 TSI,Petrol,Manual,15401.0,494000,2025.0,autojarov
Volkswagen,Tayron,2.0 TSI,Petrol,Automatic,0.0,1398900,2026.0,autojarov
